LGA_code,LGA_name,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
10050,Albury (C),20.81,19.05,18.67,18.63,23.08,17.72,21.8,22.99,24.51
10110,Armidale Dumaresq (A),19.72,20.06,22.86,16.92,20.63,21.21,24.87,23.63,21.92
10150,Ashfield (A),15.5,17.22,15.12,13.69,16.16,14.45,14.4,17.13,14.15
10200,Auburn (C),15.59,12.85,12.39,17.23,14.82,15.75,15.95,16.45,21.24
10250,Ballina (A),24.29,21.04,25.67,23.28,20.16,21.14,22.08,21.86,26.27
10300,Balranald (A),12.5,12.5,30.77,25,20,28.57,31.58,9.09,23.08
10350,Bankstown (C),16.16,14.17,14.58,11.84,13.68,16.1,15.1,16.28,18.78
10470,Bathurst Regional (A),17.86,16.19,18.32,17.83,19.7,13.78,18.41,22.3,20.99
10550,Bega Valley (A),19.63,17.58,17.73,15,16,14.58,15.81,21.2,23.38
10600,Bellingen (A),23.16,20.75,28.81,20.18,29.13,23.78,26.15,19.75,24.11
10650,Berrigan (A),14.55,10,13.64,17.65,22.73,13.33,17.07,30.61,16.33
10750,Blacktown (C),16.55,13.48,15.71,15.62,15.76,17.96,16.73,16.23,18.71
10800,Bland (A),24.24,16.22,10,13.95,5.41,21.74,9.52,12.2,16.22
10850,Blayney (A),0,4.76,20,16.67,21.43,14.06,17.24,20,21.67
10900,Blue Mountains (C),16.62,19.1,20.43,21.77,20.5,19.3,18.42,20.59,20.98
10950,Bogan (A),26.67,23.08,27.27,22.22,11.76,25,12.5,30,18.18
11000,Bombala (A),25,18.18,33.33,23.08,17.65,17.65,25,0,16.67
11050,Boorowa (A),7.69,0,29.41,17.39,10.71,13.64,33.33,17.39,40
11100,Botany Bay (C),15.27,17.91,15.14,12.66,16,16.21,18.84,14.81,19.23
11150,Bourke (A),20,16.67,31.25,26.32,22.22,25,19.05,42.86,28.57
11200,Brewarrina (A),-,20,60,0,16.67,33.33,28.57,-,44.44
11250,Broken Hill (C),19.7,25.64,15.52,15.87,19.18,19.39,25.88,21.18,31.03
11300,Burwood (A),18.93,12.13,16.55,14.99,14.08,15.51,15.92,13.16,16.79
11350,Byron (A),21.5,27.71,22.73,22.98,27.27,27.33,20.77,22.66,29.57
11400,Cabonne (A),27.27,14.29,8.33,22.92,22.22,19.7,7.69,16.25,19.23
11450,Camden (A),13.95,15.72,18.62,16.16,18.08,17.68,18.87,21.82,21.46
11500,Campbelltown (C),16.18,15.32,17.02,15.57,17.57,17.48,17.06,20.13,20.26
11520,Canada Bay (A),16.89,18.55,17.77,13.29,16.05,13.01,17.81,18.56,16.26
11550,Canterbury (C),16.47,12.49,14.31,14.61,16.19,17.28,16.05,15.92,18.39
11600,Carrathool (A),20,0,50,18.18,14.29,16.67,33.33,0,5.88
11700,Central Darling (A),20,-,-,-,11.11,50,83.33,40,57.14
11720,Cessnock (C),18.31,23.6,20.4,15.12,23.81,20.1,18.97,21.03,23.79
11730,Clarence Valley (A),23.85,24.35,21.95,25.3,25.74,18.51,25.38,17.27,24.05
11750,Cobar (A),6.67,38.89,11.76,28.57,31.25,31.82,21.05,15.38,10.53
11800,Coffs Harbour (C),21.15,19.09,23.88,19.77,22.26,22.82,22.4,25.47,22.17
12000,Coolamon (A),16.67,20,7.14,16.67,8.7,21.88,6.9,21.43,21.43
12050,Cooma-Monaro (A),21.15,22.06,32.14,21.74,10.67,12.31,14.47,14.29,20.21
12150,Coonamble (A),20.69,16.67,30.3,13.04,29.17,16,17.39,19.23,9.52
12200,Cootamundra (A),15.56,19.35,18.75,14.29,27.5,16.39,25.93,23.53,20
12300,Corowa Shire (A),20,21.28,10.91,15.52,18.03,23.29,24,20,18.6
12350,Cowra (A),12.12,17.24,21.15,11.86,11.59,20,15.79,14.67,21.88
12500,Deniliquin (A),16.98,17.54,14.06,7.35,23.08,18.67,25,17.33,13.92
12600,Dubbo (C),19.29,21.11,17.65,17.48,22.11,20.31,25.9,18.54,21.12
12700,Dungog (A),10.26,17.14,21.95,14.29,21.95,17.02,28.85,27.27,15.22
12750,Eurobodalla (A),20.57,17.31,20.95,20.9,24.47,20.76,17.56,23.13,22.03
12850,Fairfield (C),15.21,13.12,12.4,12.85,13.19,15.47,16.95,16.1,17.18
12900,Forbes (A),12.9,17.78,20.93,10.64,16.67,21.13,19.3,20,11.67
12950,Gilgandra (A),18.18,15,16,11.76,14.29,15,25,26.09,27.59
13010,Glen Innes Severn (A),15.91,8.11,25,14.58,22.22,21.57,18.52,16.95,15.09
13050,Gloucester (A),18.18,27.78,33.33,17.65,15.38,4.76,23.08,20.59,29.03
13100,Gosford (C),18.6,17.58,21.5,18.68,20.87,19.66,21.26,19.86,23.75
13310,Goulburn Mulwaree (A),21.38,26.15,19.1,18.12,16.76,19.43,21,21.39,22.32
13320,Great Lakes (A),13.08,18.92,17.09,17.24,11.76,14.09,20,15.85,27.59
13340,Greater Hume Shire (A),12.94,23.38,13.98,17.72,22.22,16.67,24.1,12.73,13.41
13380,Greater Taree (C),19.8,20.64,18.38,20,19.12,21.89,17.37,21.23,22.26
13450,Griffith (C),15.86,21.95,16.42,17.65,16.57,17.37,18.07,20.83,16.07
13500,Gundagai (A),18.18,44.44,15,27.78,25,14.71,30,12.5,16.67
13550,Gunnedah (A),11.11,15.63,14.58,10.77,18.64,20.55,12.5,22.97,14.86
13650,Guyra (A),7.14,28.57,30.77,28,15,35.71,21.43,28.13,32.14
13660,Gwydir (A),10.53,0,25,20,5,15,28,26.47,30.43
13700,Harden (A),23.08,14.29,12.5,11.54,16,19.05,4.55,20.69,19.05
13800,Hawkesbury (C),17.34,18.35,18.28,16.33,19.59,22.73,19.31,18.78,22.66
13850,Hay (A),10.53,11.11,9.52,28.57,17.86,13.64,14.29,9.09,14.29
13950,Holroyd (C),16.17,14.15,15.66,13.71,15.86,14.12,15.82,17.94,16.61
14000,Hornsby (A),13.15,11.94,13.8,13.94,13.85,14.57,14.68,16.57,16.51
14100,Hunters Hill (A),14.39,16.67,19.2,13.85,14.39,13.24,20.8,15.29,15.65
14150,Hurstville (C),14.58,14.18,12.81,14.04,13.79,14.27,16.02,14.26,18.58
14200,Inverell (A),16.28,16.44,19.32,19.75,14.46,15.04,17.59,22.88,31.13
14250,Jerilderie (A),-,12.5,12.5,14.29,25,17.65,0,16.67,12.5
14300,Junee (A),8.33,18.18,5.56,10.71,7.41,13.33,20.69,24.24,20.83
14350,Kempsey (A),19.62,22.16,12.8,22.63,22.28,22.28,25.73,24.15,20.87
14400,Kiama (A),7.41,12.8,13.68,11.57,13.17,18.8,18.07,14.22,16.46
14450,Kogarah (C),15.14,15.86,13.44,10.26,9.85,17.16,18.35,14.96,16.42
