SA3_code,SA3_name,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
10101,Goulburn - Yass,17.69,19.44,19.49,16.34,14.99,19.53,18.92,19.22,21.97
10102,Queanbeyan,19.69,22.25,18.84,20,16.59,18.83,19.51,19.58,21.99
10103,Snowy Mountains,24.14,17.86,26.88,20,14.06,17.19,16.79,16.9,20.23
10104,South Coast,20.07,17.45,19.38,18.1,20.1,17.99,16.67,22.37,22.76
10201,Gosford,18.6,17.58,21.5,18.68,20.87,19.66,21.26,19.86,23.75
10202,Wyong,20.39,19.13,20.86,20.85,22.69,22.1,21.03,20.81,21.77
10301,Bathurst,17.82,15.5,18.1,17.47,19.72,14.73,18.53,23.08,20.33
10302,Lachlan Valley,15.5,17.79,17.02,11.49,15.68,22.28,16.58,19.18,21.37
10303,Lithgow - Mudgee,18.27,17.81,21.79,20.18,26.64,18.92,17.92,20.41,23.27
10304,Orange,17.54,17.65,20.16,16.71,17.94,22.02,20.43,20.12,19.8
10401,Clarence Valley,23.85,24.35,21.95,25.3,25.74,18.51,25.38,17.27,24.05
10402,Coffs Harbour,21.44,19.33,24.69,19.83,23.24,23,23.1,24.34,22.5
10501,Bourke - Cobar - Coonamble,19.17,21.57,27.13,19.61,24.44,21.19,24.43,21.37,22.58
10502,Broken Hill and Far West,19.74,25,17.74,16.42,18.29,21.7,29.67,23.16,32.98
10503,Dubbo,18.79,18.31,18.38,16.67,20.04,19.54,25.36,21.08,23.26
10601,Lower Hunter,16.92,20.2,20.17,14.6,21.27,19.44,19.69,20.44,21.79
10602,Maitland,19.96,18.98,21.36,18.61,18.66,20.24,21.68,20,19.37
10603,Port Stephens,19.15,15.32,20.71,14.99,22.58,18.89,19.92,21.76,23.76
10604,Upper Hunter,20.47,15.75,22.08,14.48,17.53,16.77,19.62,20.9,26.09
10701,Dapto - Port Kembla,11.2,13.02,19.25,12.47,9.66,14.75,13.36,15.44,17.56
10703,Kiama - Shellharbour,12.2,12.79,14.87,12.61,13.69,15.9,17.14,17.8,18.15
10704,Wollongong,16.53,14.87,15.18,13.34,16.19,16.45,14.74,15.46,16.03
10801,Great Lakes,13.08,18.92,17.09,17.24,11.76,14.09,20,15.85,27.59
10802,Kempsey - Nambucca,20,22.3,16.72,22.97,25.17,21.36,25.32,24.29,21.32
10803,Lord Howe Island,-,-,-,-,-,-,-,37.5,-
10804,Port Macquarie,17.14,21.27,15.57,17.32,18.66,20.38,22.47,19.07,24.8
10805,Taree - Gloucester,19.63,21.19,19.61,19.83,18.77,20.75,17.89,21.17,22.89
10901,Albury,19.16,19.85,17.74,18.45,22.94,17.55,22.16,21.02,22.84
10902,Lower Murray,10.94,18.52,17.91,17.46,16.46,19.72,23.94,14.46,20.48
10903,Upper Murray exc. Albury,17.48,16.49,13.64,11.72,19.62,17.12,18.93,20.71,18.62
11001,Armidale,17.81,19.27,22.84,17.44,20.83,21.3,24.73,22.6,23.59
11002,Inverell - Tenterfield,15.12,12.9,23.32,18.48,16.57,17.22,18.18,22.32,26.54
11003,Moree - Narrabri,26.42,15.44,24.62,24.17,15.54,21.74,16.78,20.51,15.19
11004,Tamworth - Gunnedah,19.35,17.78,15.01,18.72,21.18,18.36,19.77,19.96,20.86
11101,Lake Macquarie - East,15.99,17.67,17.39,16.42,18.89,20.33,19.02,19.45,19.01
11102,Lake Macquarie - West,14.24,18.52,19.94,17.89,22.87,20.54,16.47,21.05,24.58
11103,Newcastle,18.35,18.05,17.67,16.06,18.03,18.65,18.24,19.45,20.57
11201,Richmond Valley - Coastal,22.71,23.93,24.52,23.46,23.45,24.41,21.18,21.87,27.53
11202,Richmond Valley - Hinterland,24.09,24.84,22.01,21.34,25.13,22.79,27.24,29.57,27.34
11203,Tweed Valley,22.98,26.58,23.21,20.79,22.55,21.02,19.75,22.65,23.42
11301,Griffith - Murrumbidgee (West),14.94,20.74,18.8,15.64,17.69,16.67,18.46,20.32,16.72
11302,Tumut - Tumbarumba,15.71,17.46,14.06,14.49,24.24,22.35,15.38,16,25.71
11303,Wagga Wagga,17.75,19.77,22.51,16.01,20.42,18.9,18,22.55,19.75
11401,Shoalhaven,20.18,18.57,18,19.14,14.95,16.11,19.49,19.03,21.17
11402,Southern Highlands,16.94,20.23,20.13,18.32,15.52,16.46,19.14,20.05,22.95
11501,Baulkham Hills,14.63,15.06,15.52,14.07,14.34,15.33,15.7,16.57,16.83
11502,Dural - Wisemans Ferry,15.87,13.07,14.29,16.5,16.74,17.73,16.52,19.76,19.38
11503,Hawkesbury,17.74,21.25,19.39,13.58,15.6,27.88,14.29,16.81,25.81
11601,Blacktown,16.52,13.56,14.96,16.18,15.1,17.26,16.6,15.25,17.41
11602,Blacktown - North,17.72,13.67,14.75,16.52,17.16,18.04,18.07,16.71,18.41
11603,Mount Druitt,15.59,13.22,17.72,14.02,15.37,18.86,15.7,17.01,20.43
11701,Botany,15.27,17.91,15.14,12.78,16,16.21,18.84,14.81,19.23
11702,Marrickville - Sydenham - Petersham,15.26,19.57,18.96,17.07,17.82,17.29,17.45,17.84,19.96
11703,Sydney Inner City,20.75,17.5,17.18,19.97,19.76,19.53,20.98,18.92,24.56
11801,Eastern Suburbs - North,16.65,15.83,16.2,15.99,16.96,17.99,18.17,19.31,17.76
11802,Eastern Suburbs - South,14.97,13.02,14.43,15.54,14.44,15.35,15.6,15.87,17.46
11901,Bankstown,16.27,14.25,14.55,11.7,13.84,16.35,15.46,16.4,18.68
11902,Canterbury,16.3,11.53,13.8,15.06,16.39,17.16,16.33,15.91,18.33
11903,Hurstville,14.78,13.89,12.3,13.14,13.12,14.53,16.28,14.42,17.78
11904,Kogarah - Rockdale,16.21,18.51,16.63,16.54,15.96,16.12,16.22,16.71,18.83
12001,Canada Bay,16.89,18.55,17.77,13.29,16.05,13.01,17.81,18.56,16.26
12002,Leichhardt,21.51,18.68,17.68,13.82,21.97,21.4,19.74,19.89,21.56
12003,Strathfield - Burwood - Ashfield,14.99,14.39,15.91,14.08,14.8,15.9,14.91,14.68,16.99
12101,Chatswood - Lane Cove,14.98,12.41,14,14.36,14.57,14.27,14.18,16.61,16.48
12102,Hornsby,15.82,13.81,13.35,13.97,15.3,14.38,15.71,17.77,18.28
12103,Ku-ring-gai,12.72,13.47,13.89,13.52,12.73,13.74,13.73,12.88,16.48
12104,North Sydney - Mosman,16.43,17.28,14.86,14.46,14.44,18.11,17.82,15.2,17.97
12201,Manly,21.75,17.01,15.56,18.49,15.92,14.95,17.03,18.55,21.99
12202,Pittwater,19.5,17.45,17.84,16.64,19.33,18.48,20.74,17.73,20.48
12203,Warringah,16.76,13.69,16.56,15.68,17.97,18.31,18.47,17.55,18.5
12301,Camden,14.37,15.11,18.67,16.67,18.33,17.98,19.2,22.11,20.93
12302,Campbelltown (NSW),16.18,15.32,17.02,15.57,17.57,17.48,17.06,20.13,20.26
12303,Wollondilly,17.27,22.6,15.34,19.87,18.9,13.66,21.69,17.53,22.02
12401,Blue Mountains,16.62,19.1,20.43,21.77,20.5,19.3,18.42,20.59,20.98
12403,Penrith,17.68,18.58,17.54,17.91,18.32,16.04,20.7,19.92,20.93
12404,Richmond - Windsor,17.26,17.57,17.89,17.04,20.9,21.13,20.66,19.28,21.81
12405,St Marys,15.36,11.9,16.03,18.48,15.65,17.87,19,16.7,21.11
12501,Auburn,15.59,12.85,12.39,17.23,14.82,15.75,15.95,16.45,21.24
12502,Carlingford,14.66,11.47,14.68,15.28,13.65,14.18,13.61,16.87,15.96
12503,Merrylands - Guildford,17.3,12.77,15.58,13.64,15.07,14.29,15.83,18.2,18.75
